Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Oman,OMN,1967,819.5264282226562,0,0
Oman,OMN,1968,959.2642822265625,0,0
Oman,OMN,1969,1325.072021484375,0,0
Oman,OMN,1970,1292.969482421875,0,0
Oman,OMN,1971,20657.09375,0,0
Oman,OMN,1972,22768.62109375,0,0
Oman,OMN,1973,19053.53125,0,0
Oman,OMN,1974,16779.9140625,0,0
Oman,OMN,1975,14630.5458984375,0,0
Oman,OMN,1976,16018.8193359375,0,0
Oman,OMN,1977,14637.052734375,0,0
Oman,OMN,1978,16113.888671875,0,0
Oman,OMN,1979,17560.18359375,0,0
Oman,OMN,1980,14777.1787109375,0,0
Oman,OMN,1981,14770.048828125,0,0
Oman,OMN,1982,18511.404296875,0,0
Oman,OMN,1983,16420.787109375,0,0
Oman,OMN,1984,22705.8671875,0,0
Oman,OMN,1985,22404.384765625,0,0
Oman,OMN,1986,20151.146484375,0,0
Oman,OMN,1987,21875.34375,0,0
Oman,OMN,1988,20492.6328125,0,0
Oman,OMN,1989,22410.330078125,0,0
Oman,OMN,1990,26964.53125,0,0
Oman,OMN,1991,34253.66015625,0,0
Oman,OMN,1992,31508.990234375,0,0
Oman,OMN,1993,28877.869140625,0,0
Oman,OMN,1994,26456.95703125,0,0
Oman,OMN,1995,29896.404296875,0,0
Oman,OMN,1996,30305.80078125,0,0
Oman,OMN,1997,30986.71484375,0,0
Oman,OMN,1998,31816.87890625,0,0
Oman,OMN,1999,36578.83984375,0,0
Oman,OMN,2000,50529.421875,0,0
Oman,OMN,2001,55114.59375,0,0
Oman,OMN,2002,58952.57421875,0,0
Oman,OMN,2003,59752.796875,0,0
Oman,OMN,2004,54254.5859375,0,0
Oman,OMN,2005,63444.9609375,0,0
Oman,OMN,2006,67447.8359375,0,0
Oman,OMN,2007,65257.875,0,0
Oman,OMN,2008,74147.0390625,0,0
Oman,OMN,2009,70391.40625,0,0
Oman,OMN,2010,79136.6640625,0,0
Oman,OMN,2011,80508.0234375,0,0
Oman,OMN,2012,81522.96875,0,0
Oman,OMN,2013,84693.859375,0,0.8706367611885071
Oman,OMN,2014,78833.75,0,0.8070012331008911
Oman,OMN,2015,78633.46875,0,2.3368701934814453
Oman,OMN,2016,75064.671875,0,2.5053980350494385
Oman,OMN,2017,77410.2265625,0,8.874919891357422
Oman,OMN,2018,78845.875,0,8.607501029968262
Oman,OMN,2019,76086.1328125,0,13.383549690246582
Oman,OMN,2020,72465.875,0,162.68995666503906
Oman,OMN,2021,79547.796875,,
Pakistan,PAK,1965,1487.2861328125,0,127.55523681640625
Pakistan,PAK,1966,1460.8800048828125,0,124.27921295166016
Pakistan,PAK,1967,1565.953125,0,143.45372009277344
Pakistan,PAK,1968,1721.8544921875,0,167.9088134765625
Pakistan,PAK,1969,1676.2015380859375,0,172.47708129882812
Pakistan,PAK,1970,1622.1219482421875,0,148.5675811767578
Pakistan,PAK,1971,1419.958251953125,2.309237480163574,188.79859924316406
Pakistan,PAK,1972,1255.8177490234375,9.397632598876953,193.3116455078125
Pakistan,PAK,1973,1300.4622802734375,17.09128189086914,198.40530395507812
Pakistan,PAK,1974,1379.462890625,23.184507369995117,193.8896026611328
Pakistan,PAK,1975,1385.4200439453125,25.89967918395996,216.70384216308594
Pakistan,PAK,1976,1355.1025390625,21.314849853515625,228.38819885253906
Pakistan,PAK,1977,1408.56005859375,13.077681541442871,263.1739196777344
Pakistan,PAK,1978,1425.588134765625,6.510140895843506,316.71734619140625
Pakistan,PAK,1979,1513.067138671875,1.991518497467041,331.71356201171875
Pakistan,PAK,1980,1642.995849609375,2.8918561935424805,336.6883239746094
Pakistan,PAK,1981,1716.1473388671875,5.906317710876465,340.1448974609375
